"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"2i RETE GAS";"Energy";"352200";"";"Lombardia";"Si";"Altro-EIPR-obbligato";"DNF";"Report-separato";"115";"18";"14";"47";"14";"Si";"No";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"TCFD; SASB";"TCFD; SASB";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"17010";"";"";"3372";"115493";"250799";"";"";"";"644";"917281728172817";"34";"Si";"Si";"No";"1825";"397";"375";"115";"9257";"4904";"216";"3789";"5995";"477";"0";"55";"45";"10.pdf";"2iReteGas_DNF-2022_ITA_DEF (2i RETE GAS).pdf"
"AGSM AIM (ex AIM Vicenza)";"Utilities";"351000";"";"Veneto";"Si";"Altro-EIPR-obbligato";"Bilancio di sostenibilita";"Report-separato";"145";"8";"15";"64";"19";"No";"No";"Si";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"151988";"";"4164";"";"";"2720029";"";"";"3777906000";"13180";"657205387205387";"";"Si";"No";"No";"1974";"402";"28";"10";"";"";"3";"43";"54";"";"0";"32";"68";"16.pdf";"AGSMAIM_DNF2022_PSW.pdf"
"A2A";"Energy";"351100";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-Integrato";"Report-separato";"221";"21";"33";"101";"44";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"TCFD; IR Framework";"TCFD; IR Framework";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"8631749";"109502";"1919";"";"2553461";"";"";"8455000";"";"";"679979001399907";"93";"Si";"Si";"Si";"10412";"2446";"416666666666667";"25";"95";"";"12";"49";"39";"61";"0";"0";"100";"13.pdf";"A2A-bilancio-integrato-2022 (A2A).pdf"
"ACEA";"Energy";"360000";"";"Lazio";"Si";"Societa-azioni-quotate";"Bilancio di sostenibilita";"Report-separato";"303";"37";"65";"86";"17";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"416458";"362211";"299385";"";"2727315";"9891500";"";"";"";"415106";"159404702055301";"68";"Si";"Si";"Si";"5147";"1616";"44";"19";"9315";"45";"74";"503";"423";"53";"0";"25";"75";"38.pdf";"bilancio-sostenibilita-2022 (Gruppo Acea).pdf"
"ACQUE VENETE";"Utilities";"360000";"";"Veneto";"Si";"DNF-Volontaria";"DNF";"Report-separato";"180";"24";"72";"26";"24";"No";"No";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"99955";"1384644";"2429106";"";"";"20611008";"";"";"";"31640744";"125038498402556";"63";"Si";"No";"No";"239";"74";"29";"40";"";"";"67";"546";"387";"";"0";"43";"57";"36.pdf";"Bilancio sostenibilita 31-12-2022 (Acque Venete).pdf"
"ACINQUE (ex ACSM-AGAM SPA).";"Energy";"352300";"";"Lombardia";"No";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"146";"29";"19";"30";"18";"No";"No";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"No";"Si";"Entrambi";"Si";"No";"Si";"Si";"";"168306";"11387";"19584";"";"412979166666667";"2236066";"";"";"41385000";"24093";"250033877038896";"";"Si";"No";"No";"563";"234";"54";"11";"";"";"627";"549";"387";"5379";"0";"31";"69";"14.pdf";"Acinque - Sostenibilita 2023_03_31(Acinque).pdf"
"AEFFE";"Textile";"563000";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"71";"5";"8";"15";"10";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"1144";"995";"1849";"";"";"16632";"";"";"23480";"345739943";"329314616019818";"";"No";"No";"No";"270";"941";"44";"31";"";"";"10";"57";"33";"";"0";"11";"89";"5.pdf";"2023-03-30_Dichiarazione Non Finanziaria 2022 (Aeffe).pdf"
"AEROPORTI DI ROMA SPA";"Logistics and Transport";"522300";"";"Lazio";"Si";"Altro-EIPR-obbligato";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"190";"34";"20";"8";"10";"Si";"Si";"Si";"Si";"Si (2016-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"IR Framework";"IR Framework";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"8301";"";"";"48085";"889396";"822419";"";"2037908";"";"9946";"149684098752323";"24";"Si";"No";"No";"2328";"1439";"33";"29";"";"";"55";"13";"32";"";"";"";"";"15.pdf";"ADR_RAI_2022_ITA (AEROPORTI DI ROMA SPA).pdf"
"AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA";"Logistics and Transport";"522300";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"117";"32";"15";"14";"22";"Si";"Si";"Si";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"4600";"1413";"";"";"";"101773";"";"128893";"";"2084";"119069306930693";"55";"No";"No";"No";"263";"242";"44";"24";"1006";"";"10";"54";"36";"";"0";"33";"67";"37.pdf";"bilancio-aeroporto (AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA).pdf"
"AGENZIA NAZIONALE PER L ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D IMPRESA SPA";"Financial Services";"701000";"";"Lazio";"No";"Altro-EIPR-obbligato";"Bilancio-di-Sostenibilita";"Report-separato";"91";"24";"8";"14";"22";"No";"No";"Si";"No";"Si (2022-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"No";"No";"Si";"Survey ";"4716";"723";"1272";"";"";"12901";"";"2377";"";"30";"240365329512894";"12";"Si";"No";"No";"1385";"1407";"60";"";"";"";"17";"58";"25";"59";"0";"0";"100";"43.pdf";"Bilancio_sostenibilita_2022_AGENZIA NAZIONALE PER L ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D IM"
