ANNO,CODICE_ATENEO,NOME_ATENEO,REGIONE,GRADE,GENERE,CLASSE_ETA',N_AcStaff
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,A,M,35 - 44,3
2024,03701,Bologna - Universita' degli studi,Emilia-Romagna,A,M,< 35,2
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,B,M,35 - 44,67
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,B,M,>= 55,85
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,B,M,< 35,2
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,B,F,45 - 54,85
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,B,F,35 - 44,39
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,B,F,>= 55,66
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,C,F,< 35,16
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,A,M,45 - 54,47
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,C,F,>= 55,21
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,A,M,>= 55,138
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,A,F,45 - 54,16
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,A,F,35 - 44,1
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,A,F,>= 55,63
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,D,M,45 - 54,5
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,D,M,35 - 44,44
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,D,M,>= 55,1
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,B,F,< 35,1
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,D,F,>= 55,4
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,B,M,45 - 54,8
2024,03701,Bologna - Universita' degli studi,Emilia-Romagna,A,F,35 - 44,9
2024,03701,Bologna - Universita' degli studi,Emilia-Romagna,A,F,>= 55,212
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,D,M,45 - 54,11
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,D,M,35 - 44,43
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,D,M,>= 55,2
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,D,M,< 35,206
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,B,M,45 - 54,106
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,D,F,35 - 44,48
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,D,F,35 - 44,36
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,D,F,< 35,186
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,C,M,45 - 54,20
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,C,M,35 - 44,49
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,C,M,>= 55,26
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,C,M,< 35,37
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,C,F,45 - 54,26
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,C,F,35 - 44,58
2024,03601,Modena e Reggio Emilia - Universita' degli studi,Emilia-Romagna,D,F,45 - 54,11
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,D,F,35 - 44,12
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,A,M,>= 55,143
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,A,F,45 - 54,18
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,A,F,35 - 44,4
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,A,F,>= 55,51
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,D,M,45 - 54,1
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,D,M,35 - 44,15
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,D,M,>= 55,1
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,D,M,< 35,155
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,D,F,45 - 54,1
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,B,F,< 35,1
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,D,F,< 35,29
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,C,M,35 - 44,2
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,C,M,< 35,12
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,C,F,45 - 54,1
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,C,F,35 - 44,6
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,C,F,>= 55,1
2024,02301,Verona - Universita' degli studi,Veneto,C,M,45 - 54,14
2024,03202,Trieste - Scuola internazionale superiore di studi avanzati,Friuli-Venezia Giulia,D,M,< 35,88
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,C,F,>= 55,23
2024,03701,Bologna - Universita' degli studi,Emilia-Romagna,A,M,>= 55,454
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,D,F,>= 55,2
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,D,F,< 35,132
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,C,M,45 - 54,21
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,C,M,35 - 44,50
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,C,M,>= 55,23
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,C,M,< 35,28
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,A,M,35 - 44,3
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,C,F,35 - 44,68
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,A,M,45 - 54,45
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,C,F,< 35,24
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,B,M,45 - 54,115
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,B,M,35 - 44,50
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,B,M,>= 55,101
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,B,F,45 - 54,92
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,B,F,35 - 44,40
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,B,F,>= 55,74
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,D,F,45 - 54,5
2024,03401,Parma - Universita' degli studi,Emilia-Romagna,C,F,45 - 54,16
2024,03801,Ferrara - Universita' degli studi,Emilia-Romagna,D,F,35 - 44,35
2024,03701,Bologna - Universita' degli studi,Emilia-Romagna,A,F,45 - 54,90
