ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,COD_FoET2013,DESC_FoET2013,Genere,DOTTORI
2023,09201,Cagliari - Universita' degli studi,Sardegna,02,Arts and humanities,F,3
2023,09201,Cagliari - Universita' degli studi,Sardegna,02,Arts and humanities,M,3
2023,09201,Cagliari - Universita' degli studi,Sardegna,03,"Social sciences, journalism and information",F,1
2023,09201,Cagliari - Universita' degli studi,Sardegna,03,"Social sciences, journalism and information",M,3
2023,09201,Cagliari - Universita' degli studi,Sardegna,04,"Business, administration and law",F,6
2023,09201,Cagliari - Universita' degli studi,Sardegna,04,"Business, administration and law",M,4
2023,09201,Cagliari - Universita' degli studi,Sardegna,05,"Natural sciences, mathematics and statistics",F,19
2023,09201,Cagliari - Universita' degli studi,Sardegna,05,"Natural sciences, mathematics and statistics",M,9
2023,09201,Cagliari - Universita' degli studi,Sardegna,06,Information and Communication Technologies (ICTs),F,3
2023,09201,Cagliari - Universita' degli studi,Sardegna,06,Information and Communication Technologies (ICTs),M,4
2023,09201,Cagliari - Universita' degli studi,Sardegna,07,"Engineering, manufacturing and construction",F,10
2023,09201,Cagliari - Universita' degli studi,Sardegna,07,"Engineering, manufacturing and construction",M,16
2023,09201,Cagliari - Universita' degli studi,Sardegna,08,"Agriculture, forestry, fisheries and veterinary",F,1
2023,09201,Cagliari - Universita' degli studi,Sardegna,09,Health and welfare,F,3
2023,09201,Cagliari - Universita' degli studi,Sardegna,09,Health and welfare,M,2
2023,09001,Sassari - Universita' degli studi,Sardegna,02,Arts and humanities,F,5
2023,09001,Sassari - Universita' degli studi,Sardegna,02,Arts and humanities,M,1
2023,09001,Sassari - Universita' degli studi,Sardegna,03,"Social sciences, journalism and information",F,1
2023,09001,Sassari - Universita' degli studi,Sardegna,04,"Business, administration and law",F,4
2023,09001,Sassari - Universita' degli studi,Sardegna,04,"Business, administration and law",M,1
2023,09001,Sassari - Universita' degli studi,Sardegna,05,"Natural sciences, mathematics and statistics",F,15
2023,09001,Sassari - Universita' degli studi,Sardegna,05,"Natural sciences, mathematics and statistics",M,6
