ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,CorsoTIPO,COD_FoET2013,DESC_FoET2013,Genere,ISC
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,1,Education,F,702
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,1,Education,M,53
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,2,Arts and humanities,F,1798
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,2,Arts and humanities,M,748
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,3,"Social sciences, journalism and information",F,2302
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,3,"Social sciences, journalism and information",M,1336
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,4,"Business, administration and law",F,1020
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,4,"Business, administration and law",M,937
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,5,"Natural sciences, mathematics and statistics",F,1063
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,5,"Natural sciences, mathematics and statistics",M,812
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,6,Information and Communication Technologies (ICTs),F,91
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,6,Information and Communication Technologies (ICTs),M,601
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,7,"Engineering, manufacturing and construction",F,1003
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,7,"Engineering, manufacturing and construction",M,1931
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,9,Health and welfare,F,900
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea,9,Health and welfare,M,326
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea Magistrale,1,Education,F,283
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea Magistrale,1,Education,M,20
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea Magistrale,2,Arts and humanities,F,646
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea Magistrale,2,Arts and humanities,M,247
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea Magistrale,3,"Social sciences, journalism and information",F,661
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea Magistrale,3,"Social sciences, journalism and information",M,292
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea Magistrale,4,"Business, administration and law",F,172
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,Laurea Magistrale,4,"Business, administration and law",M,113
