ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,Genere,SPECIALIZZANDI
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,F,822
2023/2024,09201,Cagliari - Universita' degli studi,Sardegna,M,468
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,F,279
2023/2024,09001,Sassari - Universita' degli studi,Sardegna,M,204
2023/2024,08701,Catania - Universita' degli studi,Sicilia,F,858
2023/2024,08701,Catania - Universita' degli studi,Sicilia,M,613
2023/2024,08301,Messina - Universita' degli studi,Sicilia,F,826
2023/2024,08301,Messina - Universita' degli studi,Sicilia,M,578
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,F,859
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,M,623
2023/2024,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,F,9
2023/2024,08001,Reggio Calabria - Universita' degli studi Mediterranea,Calabria,M,2
2023/2024,07901,"Catanzaro - Universita' degli studi ""Magna Grecia""",Calabria,F,460
2023/2024,07901,"Catanzaro - Universita' degli studi ""Magna Grecia""",Calabria,M,369
2023/2024,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,F,8
2023/2024,07801,Arcavacata di Rende - Universita' della Calabria,Calabria,M,3
2023/2024,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,F,22
2023/2024,07601,Potenza - Universita' degli studi della Basilicata,Basilicata,M,13
2023/2024,07501,Lecce - Universita' del Salento,Puglia,F,26
2023/2024,07501,Lecce - Universita' del Salento,Puglia,M,17
2023/2024,07202,Bari - Politecnico,Puglia,F,5
2023/2024,07202,Bari - Politecnico,Puglia,M,4
2023/2024,07201,Bari - Universita' degli studi,Puglia,F,1264
2023/2024,07201,Bari - Universita' degli studi,Puglia,M,841
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,F,48
2023/2024,07001,Campobasso - Universita' degli studi del Molise,Molise,M,37
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,F,370
2023/2024,06901,Chieti e Pescara - Universita' degli studi Gabriele D'Annunzio,Abruzzo,M,261
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,F,130
2023/2024,06701,Teramo - Universita' degli studi,Abruzzo,M,82
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,F,326
2023/2024,06601,L'Aquila - Universita' degli studi,Abruzzo,M,285
2023/2024,06501,Salerno - Universita' degli studi,Campania,F,352
2023/2024,06501,Salerno - Universita' degli studi,Campania,M,277
2023/2024,06306,"Napoli - Universita' degli studi della Campania ""Luigi Vanvitelli""",Campania,F,912
2023/2024,06306,"Napoli - Universita' degli studi della Campania ""Luigi Vanvitelli""",Campania,M,821
2023/2024,06304,"Napoli - Universita' degli studi ""Suor Orsola Benincasa""",Campania,F,68
2023/2024,06304,"Napoli - Universita' degli studi ""Suor Orsola Benincasa""",Campania,M,26
2023/2024,06302,"Napoli - Universita' degli studi ""Parthenope""",Campania,F,7
2023/2024,06302,"Napoli - Universita' degli studi ""Parthenope""",Campania,M,11
2023/2024,06301,"Napoli - Universita' degli studi ""Federico II""",Campania,F,1134
2023/2024,06301,"Napoli - Universita' degli studi ""Federico II""",Campania,M,988
2023/2024,05818,Roma - Saint Camillus International,Lazio,F,1
2023/2024,05818,Roma - Saint Camillus International,Lazio,M,3
2023/2024,05810,"Roma - Universita' telematica ""Guglielmo Marconi""",Lazio,F,32
2023/2024,05810,"Roma - Universita' telematica ""Guglielmo Marconi""",Lazio,M,32
2023/2024,05808,"Roma - Universita' ""Campus Bio-Medico""",Lazio,F,329
2023/2024,05808,"Roma - Universita' ""Campus Bio-Medico""",Lazio,M,292
2023/2024,05803,Roma - Libera Universita' Maria SS.Assunta (LUMSA),Lazio,F,8
2023/2024,05803,Roma - Libera Universita' Maria SS.Assunta (LUMSA),Lazio,M,2
2023/2024,05802,"Roma - Universita' degli studi di ""Tor Vergata""",Lazio,F,810
2023/2024,05802,"Roma - Universita' degli studi di ""Tor Vergata""",Lazio,M,501
2023/2024,05801,"Roma - Universita' degli studi ""La Sapienza""",Lazio,F,2172
2023/2024,05801,"Roma - Universita' degli studi ""La Sapienza""",Lazio,M,1322
2023/2024,05401,Perugia - Universita' degli studi,Umbria,F,438
2023/2024,05401,Perugia - Universita' degli studi,Umbria,M,312
2023/2024,05202,Siena - Universita' per stranieri,Toscana,F,22
2023/2024,05202,Siena - Universita' per stranieri,Toscana,M,5
2023/2024,05201,Siena - Universita' degli studi,Toscana,F,552
2023/2024,05201,Siena - Universita' degli studi,Toscana,M,359
2023/2024,05001,Pisa - Universita',Toscana,F,885
2023/2024,05001,Pisa - Universita',Toscana,M,551
