ANNO,Genere,Enrolled_Students,Graduates,PhD_Students,PhD_Graduates,1PO,2PA,3RTD,3RU,4AR
2012,F,0.0,0.0,0.0,0.0,3030.0,5628.0,982.0,11026.0,8071.0
2012,M,0.0,0.0,0.0,0.0,11492.0,10515.0,1285.0,13238.0,7676.0
2013,F,904959.0,170922.0,16794.0,5587.0,2935.0,5532.0,1275.0,10823.0,8183.0
2013,M,696548.0,120361.0,15914.0,5158.0,10955.0,10278.0,1648.0,12923.0,8097.0
2014,F,895794.0,171427.0,16217.0,5625.0,2832.0,6241.0,1537.0,9757.0,8048.0
2014,M,691367.0,120661.0,15646.0,5113.0,10431.0,11300.0,2028.0,11278.0,7861.0
2015,F,888162.0,170206.0,14984.0,5409.0,2777.0,7310.0,1759.0,8290.0,7151.0
2015,M,692657.0,122008.0,14436.0,5076.0,10101.0,12733.0,2356.0,9143.0,6891.0
2016,F,894069.0,174259.0,13836.0,5077.0,2880.0,7409.0,2246.0,7651.0,7096.0
2016,M,705527.0,126411.0,13590.0,4726.0,10093.0,12514.0,3111.0,8331.0,6850.0
2017,F,907470.0,178298.0,14081.0,5195.0,2970.0,7551.0,2641.0,7042.0,7110.0
2017,M,719501.0,129044.0,14068.0,4857.0,9920.0,12593.0,3563.0,7513.0,7014.0
2018,F,923563.0,181869.0,14436.0,4352.0,3131.0,7984.0,3298.0,6193.0,7071.0
2018,M,727880.0,135206.0,14895.0,4228.0,10056.0,12801.0,4393.0,6406.0,7034.0
2019,F,949616.0,189353.0,15118.0,4209.0,3394.0,8748.0,3829.0,5300.0,7195.0
2019,M,740851.0,141943.0,15963.0,4016.0,10291.0,13535.0,4931.0,5398.0,7264.0
2020,F,997868.0,194402.0,15764.0,3996.0,3602.0,9350.0,4279.0,4416.0,7511.0
2020,M,764869.0,145112.0,17100.0,4013.0,10575.0,13797.0,5529.0,4505.0,7978.0
2021,F,1018374.0,206962.0,17916.0,4123.0,3973.0,9971.0,4801.0,3762.0,7716.0
2021,M,767124.0,150598.0,19457.0,4321.0,11177.0,14184.0,6132.0,3792.0,7985.0
2022,F,1044602.0,203388.0,20317.0,4523.0,4238.0,11263.0,5926.0,2601.0,7931.0
2022,M,777845.0,146909.0,21731.0,4603.0,11448.0,15341.0,7483.0,2698.0,7812.0
2023,F,1080318.0,218173.0,21987.0,4400.0,4617.0,11310.0,7159.0,2409.0,8019.0
2023,M,794985.0,155603.0,22531.0,4824.0,11957.0,15162.0,8978.0,2422.0,7872.0
2024,F,0.0,0.0,0.0,0.0,5116.0,11951.0,6710.0,2125.0,12648.0
2024,M,0.0,0.0,0.0,0.0,12579.0,15895.0,8111.0,2146.0,12505.0
